Reference: IERS Technical Note 35

Notes:

 (1) 	ICRF Designations, constructed from J2000.0 coordinates with the format 
		ICRF JHHMMSS.s+DDMMSS   or   ICRF JHHMMSS.s-DDMMSS 
	They follow the recommendations of the IAU Task Group on Designations.

 (2)	IERS Designations, previously constructed from B1950 coordinates. 
	The complete format, including acronym and epoch in addition to the
        coordinates, is
		IERS BHHMM+DDd   or   IERS BHHMM-DDd


Coordinates of 2197 VCS only sources in ICRF2
------------------------------------------------------------------------------------------------------------------------------------------
 ICRF Designation     IERS Des.  Right Ascension     Declination         Uncertainty         Corr.   Mean   First    Last     Nb      Nb
        (1)              (2)         J2000.0           J2000.0         R.A.      Dec.        RA-Dc   MJD     MJD     MJD     sess.    del.
                                   h  m  s             o  '  "          s          "                  of observation span 
------------------------------------------------------------------------------------------------------------------------------------------
ICRF J000020.3-322101  2357-326  00 00 20.39994757  -32 21 01.2335157  0.00003337 0.0009246  -0.004  52306.7 52306.7 52306.7      1     40
ICRF J000053.0+405401  2358+406  00 00 53.08156778   40 54 01.7930799  0.00015641 0.0020936  -0.164  50242.8 50242.8 50242.8      1     22
ICRF J000105.3-155107  2358-161  00 01 05.32876820  -15 51 07.0760497  0.00003183 0.0008911  -0.749  50632.3 50632.3 50632.3      1     58
ICRF J000107.0+605122  2358+605  00 01 07.09959766   60 51 22.8029987  0.00031887 0.0035918  -0.102  52306.7 52306.7 52306.7      1     11
ICRF J000315.9-194150  0000-199  00 03 15.94932322  -19 41 50.3978977  0.00032832 0.0136435  -0.943  54088.1 54088.1 54088.1      1     11
ICRF J000318.6-192722  0000-197  00 03 18.67502432  -19 27 22.3548546  0.00003436 0.0009446  -0.224  50650.0 50632.3 50688.3      2     76
ICRF J000319.3+212944  0000+212  00 03 19.35003510   21 29 44.5075377  0.00004271 0.0012525  -0.474  50123.1 50085.5 50156.3      2     66
ICRF J000404.9-114858  0001-120  00 04 04.91499899  -11 48 58.3857370  0.00000876 0.0002781  -0.072  51045.0 50576.2 53134.5      3    109
ICRF J000416.1+461517  0001+459  00 04 16.12765548   46 15 17.9699957  0.00003053 0.0006328   0.096  50306.3 50306.3 50306.3      1     75
ICRF J000504.3+542824  0002+541  00 05 04.36344925   54 28 24.9264790  0.00008595 0.0011305   0.452  49577.0 49577.0 49577.0      1     60
ICRF J000517.9-164804  0002-170  00 05 17.93380986  -16 48 04.6789988  0.00002731 0.0008697  -0.547  50632.3 50632.3 50632.3      1     64
ICRF J000520.2+052410  0002+051  00 05 20.21551394   05 24 10.8008742  0.00013788 0.0021965  -0.105  49914.7 49914.7 49914.7      1     26
ICRF J000601.1-295550  0003-302  00 06 01.12321682  -29 55 50.0977736  0.00019870 0.0055662   0.859  52409.7 52409.7 52409.7      1     16
