#                      VTRF2008 STATION POSITIONS AT EPOCH 2000.0 AND VELOCITIES

#DOMES NB. SITE NAME        TECH. ID.        X/Vx       Y/Vy         Z/Vz         Sigmas          SOLN  DATA_START   DATA_END
#                                           -----------------------m/m/y---------------------
#-----------------------------------------------------------------------------------------------------------------------
10302M002 TROMSONO         VLBI 7602  2102903.982   721602.650  5958201.369 0.01589 0.00840 0.03870
10302M002                                 -0.0189       0.0199       0.0099 0.00184 0.00103 0.00439
10317S003 NYALES20         VLBI 7331  1202462.712   252734.419  6237766.073 0.00006 0.00007 0.00012
10317S003                                 -0.0142       0.0072       0.0111 0.00001 0.00001 0.00002
10329M001 TRYSILNO         VLBI 7607  2988029.130   655957.094  5578669.205 0.02062 0.00672 0.03750
10329M001                                 -0.0098       0.0084       0.0189 0.00266 0.00086 0.00483
10402S002 ONSALA60         VLBI 7213  3370605.984   711917.528  5349830.771 0.00008 0.00008 0.00012
10402S002                                 -0.0140       0.0144       0.0108 0.00001 0.00001 0.00002
10503S002 METSAHOV         VLBI 7385  2892585.077  1311715.423  5512640.071 0.00348 0.00211 0.00567
10503S002                                 -0.0177       0.0123       0.0062 0.00053 0.00032 0.00086
12337S008 CRIMEA           VLBI 7332  3785231.002  2551207.463  4439796.411 0.00041 0.00028 0.00049
12337S008                                 -0.0211       0.0160       0.0107 0.00011 0.00007 0.00012
12338S003 BADARY           VLBI 7382  -838200.724  3865751.588  4987670.977 0.00360 0.00846 0.01278
12338S003                                 -0.0259      -0.0028      -0.0068 0.00044 0.00103 0.00156
12350S001 SVETLOE          VLBI 7380  2730173.910  1562442.625  5529969.044 0.00031 0.00022 0.00057
12350S001                                 -0.0185       0.0120       0.0077 0.00005 0.00003 0.00009
12351S001 ZELENCHK         VLBI 7381  3451207.781  3060375.208  4391914.919 0.00140 0.00120 0.00187
12351S001                                 -0.0165       0.0171       0.0122 0.00019 0.00016 0.00025
12711S001 MEDICINA         VLBI 7230  4461369.928   919596.878  4449559.236 0.00027 0.00015 0.00030  1 00:000:00000 96:183:00000
12711S001                                 -0.0180       0.0188       0.0115 0.00002 0.00002 0.00003
12711S001 MEDICINA         VLBI 7230  4461369.931   919596.878  4449559.240 0.00012 0.00010 0.00016  2 96:183:00000 00:000:00000
12711S001                                 -0.0180       0.0188       0.0115 0.00002 0.00002 0.00003
12717S001 NOTO             VLBI 7547  4934563.067  1321201.312  3806484.540 0.00021 0.00013 0.00020
12717S001                                 -0.0174       0.0176       0.0155 0.00005 0.00003 0.00004
12734S005 MATERA           VLBI 7243  4641938.713  1393003.074  4133325.586 0.00010 0.00010 0.00014
12734S005                                 -0.0187       0.0189       0.0147 0.00002 0.00002 0.00003
13407S010 DSS65            VLBI 1565  4849336.665  -360488.735  4114748.880 0.00073 0.00026 0.00077  1 00:000:00000 97:105:00000
13407S010                                 -0.0072       0.0189       0.0153 0.00010 0.00004 0.00011
13407S010 DSS65            VLBI 1565  4849336.668  -360488.734  4114748.871 0.00033 0.00015 0.00035  2 97:105:00000 00:000:00000
13407S010                                 -0.0072       0.0189       0.0153 0.00010 0.00004 0.00011
13407S014 DSS65A           VLBI 1567  4849339.669  -360427.747  4114750.665 0.00092 0.00032 0.00098
13407S014                                 -0.0072       0.0189       0.0153 0.00010 0.00004 0.00011
13420S001 YEBES            VLBI 7333  4848780.264  -261702.021  4123035.784 0.00068 0.00020 0.00062
13420S001                                 -0.0106       0.0192       0.0121 0.00029 0.00007 0.00026
14201S004 WETTZELL         VLBI 7224  4075539.836   931735.312  4801629.400 0.00007 0.00009 0.00011
14201S004                                 -0.0158       0.0169       0.0104 0.00001 0.00002 0.00002
14201S100 TIGOWTZL         VLBI 7593  4075572.632   931755.172  4801584.394 0.00098 0.00036 0.00113
14201S100                                 -0.0158       0.0169       0.0104 0.00001 0.00002 0.00002
14209S001 EFLSBERG         VLBI 7203  4033947.420   486990.559  4900430.835 0.00073 0.00028 0.00082  1 00:000:00000 96:275:00000
14209S001                                 -0.0135       0.0166       0.0114 0.00009 0.00003 0.00010
14209S001 EFLSBERG         VLBI 7203  4033947.434   486990.566  4900430.849 0.00038 0.00017 0.00044  2 96:275:00000 00:000:00000
14209S001                                 -0.0135       0.0166       0.0114 0.00009 0.00003 0.00010
21605S009 SESHAN25         VLBI 7227 -2831687.007  4675733.637  3275327.663 0.00019 0.00023 0.00025
21605S009                                 -0.0294      -0.0122      -0.0116 0.00003 0.00004 0.00005
21612S001 URUMQI           VLBI 7330   228310.628  4631922.780  4367064.000 0.00024 0.00049 0.00053
21612S001                                 -0.0319      -0.0025       0.0060 0.00005 0.00010 0.00010
21701S001 KASHIMA          VLBI 1856 -3997892.274  3276581.299  3724118.214 0.00041 0.00032 0.00045  1 00:000:00000 11:070:00000
21701S001                                 -0.0003       0.0056      -0.0086 0.00006 0.00004 0.00007
21701S004 KASHIM34         VLBI 1857 -3997649.234  3276690.777  3724278.819 0.00024 0.00021 0.00028  1 00:000:00000 11:070:00000
21701S004                                 -0.0001       0.0057      -0.0068 0.00004 0.00003 0.00005
21702S010 MIZNAO10         VLBI 7324 -3857236.292  3108803.326  4003883.219 0.03655 0.02950 0.03595
21702S010                                 -0.0300       0.0209       0.0201 0.00608 0.00490 0.00598
21702S012 VERAMZSW         VLBI 7362 -3857242.030  3108784.904  4003900.728 0.03678 0.02970 0.03617
21702S012                                 -0.0300       0.0209       0.0201 0.00608 0.00490 0.00598
21725S001 NOBEY_6M         VLBI 7244 -3871168.814  3428274.500  3723698.045 0.08122 0.07322 0.07374
21725S001                                 -0.0578       0.0581       0.0413 0.00869 0.00784 0.00796
21730S007 TSUKUB32         VLBI 7345 -3957408.786  3310229.412  3737494.806 0.00086 0.00071 0.00089  1 00:000:00000 99:121:00000
21730S007                                 -0.0021       0.0061      -0.0045 0.00003 0.00003 0.00004
21730S007 TSUKUB32         VLBI 7345 -3957408.782  3310229.406  3737494.806 0.00017 0.00015 0.00025  2 99:121:00000 11:070:00000
21730S007                                 -0.0021       0.0061      -0.0045 0.00003 0.00003 0.00004
21731S003 SINTOTU3         VLBI 7346 -3642142.505  2861496.818  4370362.117 0.08614 0.06748 0.09048
21731S003                                 -0.1101       0.0496       0.0656 0.01438 0.01132 0.01511
21732S004 CHICHI10         VLBI 7347 -4490618.027  3483908.094  2884898.905 0.09855 0.08649 0.07908
21732S004                                  0.1806      -0.0513      -0.1034 0.01831 0.01485 0.01439
21733S002 MARCUS           VLBI 7310 -5227446.357  2551379.861  2607605.094 0.02203 0.01345 0.01436
21733S002                                  0.0427       0.0585       0.0286 0.00300 0.00185 0.00200
21742S002 AIRA             VLBI 7348 -3530218.922  4118797.190  3344015.614 0.07819 0.07061 0.06105
21742S002                                 -0.0409       0.0363       0.0601 0.01585 0.01547 0.01492
21747S002 GIFU11           VLBI 7361 -3787123.200  3564181.571  3680274.984 0.01869 0.01616 0.01637
21747S002                                 -0.0384       0.0250       0.0213 0.00489 0.00435 0.00481
30302S001 HARTRAO          VLBI 7232  5085442.776  2668263.540 -2768696.961 0.00024 0.00025 0.00017
30302S001                                 -0.0011       0.0201       0.0169 0.00004 0.00004 0.00003
40101M003 CTVASTJ          VLBI 7625  2612545.639 -3426878.772  4686756.121 0.00332 0.00470 0.00571
40101M003                                 -0.0170       0.0007       0.0062 0.00076 0.00105 0.00130
40104S001 ALGOPARK         VLBI 7282   918034.695 -4346132.278  4561971.175 0.00007 0.00010 0.00012
40104S001                                 -0.0158      -0.0037       0.0037 0.00001 0.00002 0.00003
