Version 2023-01-24
# This file contains gravitaional deformation information for various antennas.
# This is the EXTRA delay introduced by deformation of the antenna.  
# Hence the delay is 
#    ADDED to the theoretical value 
#         --OR--
#    SUBTRACTED from the observed value. 
#
# History: (Most recent first)
# 2023-01-24 John Gipson.  Fixed names of ONSA13NE and ONSA13SW which were wrong in the table. 
#
# 2023-01-20 JMG. Added in following antennas:
#                 WETTZELL, WETTZ13S, WETTZ13N   (courtesy Christian Plotz and Michael Loesler)
#                 NYALES20                       (Ann-Silje Kirkvik)
#                 KOKEE.                         Uses same model as NYALES20 since antennas are structurally identical
#                 ONSA13NE, ONSA13SW             Michael Loesler et al.
#
# 2019Nov21 JMG. Added references for all the models. 
#                Updated Onsala60 model using results from published paper.
#                Signs of all models are consistent. 
#
# 2018Nov12 JMG. Changed sign of YEBES40M.(subsequently undone)
#                Did this by changing scale. This resulted from error in reading paper. 
# 2018Nov11 JMGipson. All models redone by John Gipson. Now done in mm. 
#           Added optional "EPOCH" line. If present specifies range for validity of model. 
#
#
# 2018Aug16 JMGipson First version. Using models from Tilda Swinstrom, NVI summer intern. 
#
# Lines that start with "#" are comments and can be ignored.
# For each antenna the general format is:
#  ANTENNA NUM_PTS SCALE
#  el1  delay1
#  el2  delay2
#....
#  ANTEN2 NUM_PTS SCALE
#  EPOCH YYYYMMDD  YYYYMMDD    beginning and ending epoch of model
#  el1  delay1
#  el2  delay2
# ...
# Some comments on format.
# 1. ANTENNA is the name of the antenna.
# 2. NUM_PTS are the number of points.
# 3. SCALE is an optional scaling factor. This converts the delay into ps. 
#    If SCALE is 3.336 than the raw values are in mm.   
# 4. Epoch is the optional beginning and ending date for the model. 
# 5. The pairs el1, delay1 are the EXCESS delay as a function of elevation.
#    The scale factor converts this to ps. 
#
#  The delay is calculated using a cubic spline interpoation.
#  The number and spacing of the points is arbitrary, but should be chosen
#  so that the error interpolation is under ~0.25 ps. 
#
# Reference: 
#   A complete VLBI delay model for deforming radio telescopes: the Effelsberg case
#   T. Artz · A. Springer · A. Nothnagel
#   J Geod (2014) 88:11451161
#   DOI 10.1007/s00190-014-0749-1
#
EFLSBERG  90   3.336
   1  -97.137
   2  -95.795
